Sl.No,Player Name,Type,Points 
1,Cameron Green ✈,All Rounder,11
2,Axar Patel,All Rounder,12
3,Jadeja,All Rounder,8
4,Travis Head ✈,Batter,8
5,Rohit Sharma,Batter,5
6,Stoinis ✈,All Rounder,5.5
7,David Miller ✈,Batter,3
8,Karthik Sharma,Wicket Keeper,1
9,Abishek Porel,Wicket Keeper,3.5
10,Washington Sundar,All Rounder,4
11,Sandeep Sharma,Bowler,2
12,Harpreet Brar,All Rounder,2
13,Dasun Shanaka ✈,All Rounder,9
14,Auqib Nabi Dar,All Rounder,2
15,Anshul Kamboj,Bowler,4
,15,Remaning Purse,0
