Sl.No,Player Name,Type,Points 
1,Abishek Sharma,All Rounder,19
2,Sanju Samson,Wicket Keeper,12
3,Jasprit Bumrah,Bowler,12
4,Dhruv Jurel,Wicket Keeper,4.5
5,Rovman Powell ✈,All Rounder,3
6,Naman Dhir ,Batter,2.5
7,Vaibhav Sooryavanshi,Batter,9
8,Sherfane Rutherford ✈,All Rounder,2.5
9,Santner ✈,All Rounder,2
10,Tushar Deshpande,Bowler,4
11,Lungi Ngidi  ✈,All Rounder,2
12,Azmatullah Omarzai  ✈,All Rounder,2
13,Mayank Markande,Bowler,1
14,Natarajan,Bowler,2
15,Vipraj Nigam,Bowler,1.5
,15,Remaning Purse,1
