Sl.No,Player Name,Type,Points 
1,Rashid Khan ✈,All Rounder,7
2,Arshdeep singh,Bowler,8
3,Jos Buttler ✈,Wicket Keeper,10
4,Hardik Pandya,All Rounder,13
5,Marco Jansen ✈,All Rounder,7
6,Tristan Stubbs ✈,Batter,3.5
7,Siraj,Bowler,4.5
8,Tilak Varma,Batter,6.5
9,Ashutosh Sharma,Batter,3
10,Quinton De Kock ✈,Wicket Keeper,2.5
11,Jitesh Sharma,Wicket Keeper,3.5
12,Khaleel Ahmed,Bowler,4
13,Ravi Bishnoi,Bowler,2.5
14,Prithvi Shaw,Batter,1.5
15,Venkatesh Iyer,All Rounder,3.5
,15,Remaning Purse,0
