Sl.No,Player Name,Type,Points 
1,Rishabh Pant,Wicket Keeper,9
2,Shubman Gill,Batter,10
3,Nicholas Pooran ✈,Wicket Keeper,12
4,Riyan Parag,All Rounder,6.5
5,Mitchell Starc ✈,Bowler,5
6,Ayush Mhatre,All Rounder,4
7,Ayush Badoni,Batter,1.5
8,Nehal Wadhera,Batter,2.5
9,Prabhsimran Singh,Wicket Keeper,6
10,Krunal Pandya,All Rounder,6
11,Digvesh Rati,Bowler,1.5
12,Boult ✈,Bowler,4
13,Deepak Chahar,Bowler,3
14,Liam Livingstone,All Rounder,4
15,Glenn Phillips,All Rounder,2
,15,Remaning Purse,3
