Sl.No,Player Name,Type,Points 
1,Suryakumar Yadav,Batter,16
2,Kuldeep Yadav,Bowler,5.5
3,Rajat Patidar,Batter,6
4,Chahal,Bowler,5
5,Dube,All Rounder,9
6,Sai Sudarshan,Batter,10
7,Bhuvaneshwar Kumar,Bowler,4.5
8,Sunil Narine✈,All Rounder,8
9,Jofra Archer ✈,Bowler,3.5
10,Tim Seifert ✈,Wicket Keeper,1.5
11,Shashank Singh,All Rounder,2.5
12,Pathum Nissanka ✈,Batter,2
13,Romario Shepherd ✈,All Rounder,3.5
14,Nitish Rana,All Rounder,2
15,Smaran Ravichandran,Batter,1
,15,Remaning Purse,0
